Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   63/300: games={'X': 16, 'O': 3, 'draw': 1}, buffer_x=6333, buffer_o=5390, x_frozen=False, gap=-0.0651, value_loss_o=0.2595, policy_loss_o=1.0192, value_error_vs_solver=0.5404 (X=0.5730, O=0.5079), elapsed=4.5s
iter   64/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer_x=6427, buffer_o=5467, x_frozen=False, gap=-0.0404, value_loss_o=0.2623, policy_loss_o=1.0210, value_error_vs_solver=0.5192 (X=0.5394, O=0.4990), elapsed=6.4s
iter   65/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=6521, buffer_o=5543, x_frozen=False, gap=-0.1197, value_loss_o=0.2602, policy_loss_o=1.0250, value_error_vs_solver=0.5628 (X=0.6226, O=0.5029), elapsed=5.2s
iter   66/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=6595, buffer_o=5598, x_frozen=False, gap=-0.0774, value_loss_o=0.2581, policy_loss_o=1.0292, value_error_vs_solver=0.5373 (X=0.5760, O=0.4986), elapsed=4.1s
iter   67/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer_x=6668, buffer_o=5654, x_frozen=False, gap=-0.0819, value_loss_o=0.2602, policy_loss_o=1.0357, value_error_vs_solver=0.5393 (X=0.5802, O=0.4983), elapsed=3.8s
iter   68/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=6773, buffer_o=5743, x_frozen=False, gap=-0.0462, value_loss_o=0.2572, policy_loss_o=1.0313, value_error_vs_solver=0.5101 (X=0.5332, O=0.4870), elapsed=6.2s
iter   69/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=6850, buffer_o=5800, x_frozen=False, gap=-0.1057, value_loss_o=0.2529, policy_loss_o=1.0347, value_error_vs_solver=0.5317 (X=0.5846, O=0.4788), elapsed=3.8s
iter   70/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=6921, buffer_o=5852, x_frozen=False, gap=-0.0635, value_loss_o=0.2535, policy_loss_o=1.0390, value_error_vs_solver=0.5371 (X=0.5688, O=0.5053), elapsed=4.3s
iter   71/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=6997, buffer_o=5908, x_frozen=False, gap=0.0166, value_loss_o=0.2522, policy_loss_o=1.0426, value_error_vs_solver=0.4754 (X=0.4671, O=0.4837), elapsed=3.7s
iter   72/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=7074, buffer_o=5965, x_frozen=False, gap=-0.0841, value_loss_o=0.2481, policy_loss_o=1.0462, value_error_vs_solver=0.4657 (X=0.5078, O=0.4236), elapsed=4.7s
iter   73/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=7152, buffer_o=6025, x_frozen=False, gap=-0.0048, value_loss_o=0.2475, policy_loss_o=1.0502, value_error_vs_solver=0.4794 (X=0.4818, O=0.4770), elapsed=5.1s
iter   74/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=7236, buffer_o=6089, x_frozen=False, gap=-0.0570, value_loss_o=0.2513, policy_loss_o=1.0570, value_error_vs_solver=0.5185 (X=0.5470, O=0.4900), elapsed=6.1s
iter   75/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=7322, buffer_o=6155, x_frozen=False, gap=-0.1529, value_loss_o=0.2485, policy_loss_o=1.0520, value_error_vs_solver=0.4778 (X=0.5543, O=0.4014), elapsed=5.3s
iter   76/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=7400, buffer_o=6213, x_frozen=False, gap=-0.0360, value_loss_o=0.2390, policy_loss_o=1.0534, value_error_vs_solver=0.5288 (X=0.5468, O=0.5108), elapsed=5.0s
iter   77/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=7487, buffer_o=6281, x_frozen=False, gap=0.0014, value_loss_o=0.2371, policy_loss_o=1.0618, value_error_vs_solver=0.5017 (X=0.5010, O=0.5024), elapsed=5.0s
iter   78/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=7557, buffer_o=6332, x_frozen=False, gap=-0.0561, value_loss_o=0.2395, policy_loss_o=1.0626, value_error_vs_solver=0.5341 (X=0.5621, O=0.5061), elapsed=4.9s
iter   79/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer_x=7645, buffer_o=6404, x_frozen=False, gap=-0.0807, value_loss_o=0.2363, policy_loss_o=1.0619, value_error_vs_solver=0.5137 (X=0.5540, O=0.4733), elapsed=5.0s
iter   80/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=7723, buffer_o=6463, x_frozen=False, gap=-0.0973, value_loss_o=0.2362, policy_loss_o=1.0661, value_error_vs_solver=0.5281 (X=0.5767, O=0.4795), elapsed=4.4s
iter   81/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=7809, buffer_o=6531, x_frozen=False, gap=-0.0658, value_loss_o=0.2322, policy_loss_o=1.0658, value_error_vs_solver=0.5064 (X=0.5393, O=0.4734), elapsed=5.0s
iter   82/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=7883, buffer_o=6585, x_frozen=False, gap=-0.0319, value_loss_o=0.2323, policy_loss_o=1.0713, value_error_vs_solver=0.4733 (X=0.4892, O=0.4574), elapsed=3.7s
iter   83/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=7962, buffer_o=6644, x_frozen=False, gap=-0.0732, value_loss_o=0.2285, policy_loss_o=1.0749, value_error_vs_solver=0.5058 (X=0.5424, O=0.4692), elapsed=4.4s
iter   84/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=8000, buffer_o=6698, x_frozen=False, gap=-0.0474, value_loss_o=0.2288, policy_loss_o=1.0784, value_error_vs_solver=0.5452 (X=0.5689, O=0.5215), elapsed=4.2s
iter   85/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=6766, x_frozen=False, gap=-0.0672, value_loss_o=0.2277, policy_loss_o=1.0794, value_error_vs_solver=0.4982 (X=0.5318, O=0.4646), elapsed=6.4s
iter   86/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=8000, buffer_o=6822, x_frozen=False, gap=-0.1230, value_loss_o=0.2264, policy_loss_o=1.0832, value_error_vs_solver=0.4581 (X=0.5196, O=0.3967), elapsed=4.8s
iter   87/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=6880, x_frozen=False, gap=-0.0991, value_loss_o=0.2251, policy_loss_o=1.0841, value_error_vs_solver=0.5224 (X=0.5720, O=0.4729), elapsed=6.2s
iter   88/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=6933, x_frozen=False, gap=-0.1123, value_loss_o=0.2263, policy_loss_o=1.0903, value_error_vs_solver=0.5411 (X=0.5973, O=0.4849), elapsed=4.2s
