Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   75/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=8000, buffer_o=7493, value_loss=0.2235, policy_loss=0.6601, value_error_vs_solver=0.5728 (X=0.5722, O=0.5734), elapsed=4.8s
iter   76/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=7551, value_loss=0.2211, policy_loss=0.6566, value_error_vs_solver=0.6091 (X=0.5407, O=0.6775), elapsed=3.7s
iter   77/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7623, value_loss=0.2158, policy_loss=0.6506, value_error_vs_solver=0.5261 (X=0.4263, O=0.6260), elapsed=3.9s
iter   78/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=8000, buffer_o=7702, value_loss=0.2162, policy_loss=0.6493, value_error_vs_solver=0.5120 (X=0.4788, O=0.5452), elapsed=5.2s
iter   79/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=8000, buffer_o=7793, value_loss=0.2147, policy_loss=0.6457, value_error_vs_solver=0.5107 (X=0.5192, O=0.5021), elapsed=6.2s
iter   80/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7858, value_loss=0.2125, policy_loss=0.6431, value_error_vs_solver=0.5698 (X=0.5432, O=0.5964), elapsed=5.1s
iter   81/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer_x=8000, buffer_o=7936, value_loss=0.2081, policy_loss=0.6402, value_error_vs_solver=0.5186 (X=0.5024, O=0.5348), elapsed=4.2s
iter   82/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer_x=8000, buffer_o=8000, value_loss=0.2060, policy_loss=0.6353, value_error_vs_solver=0.5867 (X=0.5638, O=0.6096), elapsed=7.6s
iter   83/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.2002, policy_loss=0.6322, value_error_vs_solver=0.5672 (X=0.5706, O=0.5637), elapsed=5.7s
iter   84/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1975, policy_loss=0.6290, value_error_vs_solver=0.4974 (X=0.4655, O=0.5292), elapsed=5.1s
iter   85/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1945, policy_loss=0.6270, value_error_vs_solver=0.5472 (X=0.5805, O=0.5138), elapsed=4.8s
iter   86/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1917, policy_loss=0.6243, value_error_vs_solver=0.5326 (X=0.5359, O=0.5292), elapsed=4.3s
iter   87/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1889, policy_loss=0.6211, value_error_vs_solver=0.5590 (X=0.5409, O=0.5771), elapsed=4.6s
iter   88/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1845, policy_loss=0.6196, value_error_vs_solver=0.4953 (X=0.4733, O=0.5173), elapsed=4.9s
iter   89/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1814, policy_loss=0.6171, value_error_vs_solver=0.5268 (X=0.4932, O=0.5605), elapsed=4.4s
iter   90/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1792, policy_loss=0.6175, value_error_vs_solver=0.5256 (X=0.5056, O=0.5457), elapsed=4.3s
iter   91/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1785, policy_loss=0.6156, value_error_vs_solver=0.5096 (X=0.4870, O=0.5323), elapsed=4.5s
iter   92/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1751, policy_loss=0.6136, value_error_vs_solver=0.5412 (X=0.5363, O=0.5461), elapsed=5.2s
iter   93/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=8000, buffer_o=8000, value_loss=0.1714, policy_loss=0.6116, value_error_vs_solver=0.5107 (X=0.5107, O=0.5107), elapsed=6.6s
iter   94/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1704, policy_loss=0.6080, value_error_vs_solver=0.5507 (X=0.5619, O=0.5394), elapsed=5.9s
iter   95/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=8000, buffer_o=8000, value_loss=0.1682, policy_loss=0.6052, value_error_vs_solver=0.4732 (X=0.4512, O=0.4952), elapsed=7.4s
iter   96/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1673, policy_loss=0.6033, value_error_vs_solver=0.5230 (X=0.4873, O=0.5587), elapsed=4.6s
iter   97/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1652, policy_loss=0.6022, value_error_vs_solver=0.5188 (X=0.5439, O=0.4937), elapsed=5.2s
